0,0,91.2,0.0,0,699,100
-6,288,115.1,0.0,291,1688,614
-158,548,125.4,0.0,593,1197,870
-360,773,139.9,0.0,896,694,778
-628,916,165.2,0.0,1203,813,807
-931,934,-173.3,0.0,1508,1244,852
-1230,857,-159.0,0.0,1818,1584,778
-1504,721,-148.0,0.0,2124,954,773
-1739,523,-129.5,0.0,2432,547,676
-1863,253,-98.2,0.0,2731,602,691
-1824,-44,-69.4,0.0,3033,1281,752
-1678,-313,-55.7,0.0,3340,2573,876
-1490,-554,-48.9,0.0,3645,3633,1012
-1278,-776,-44.1,0.0,3951,3967,1019
-1050,-981,-39.7,0.0,4258,3273,968
-809,-1164,-34.3,0.0,4561,1723,845
-541,-1318,-24.1,0.0,4869,731,727
-247,-1390,-0.2,0.0,5174,623,707
43,-1309,27.6,0.0,5477,5629,765
314,-1169,24.5,0.0,5781,1512,758
581,-1029,36.0,0.0,6084,449,620
748,-785,74.3,0.0,6384,988,637
779,-483,91.9,0.0,6687,632,577
724,-188,119.3,0.0,6989,492,548
544,-47,146.2,0.0,7220,492,100
